Protocol Name,Number of nodes,Number of packets per second,Speed of nodes,Throughput,End-to-end Delay,Packet Delivery Ratio,Packet Drop Ratio
AODV,20,100,20,330.473,0.108207,53.003,46.997
RAODV,20,100,20,361.945,0.0755031,57.7737,42.2263
AODV,40,100,20,467.064,0.155137,38.5991,61.4009
RAODV,40,100,20,473.839,0.101981,39.4884,60.5116
AODV,70,100,20,697.198,0.180877,32.4006,67.5994
RAODV,70,100,20,701.705,0.173735,32.9371,67.0629
AODV,100,100,20,680.309,0.255688,23.0374,76.9626
RAODV,100,100,20,715.103,0.256727,24.2623,75.7377
AODV,70,100,20,697.198,0.180877,32.4006,67.5994
RAODV,70,100,20,701.705,0.173735,32.9371,67.0629
AODV,70,200,20,964.02,0.210783,22.8124,77.1876
RAODV,70,200,20,1050.04,0.181211,24.6489,75.3511
AODV,70,300,20,478.742,0.351023,7.7202,92.2798
RAODV,70,300,20,649.513,0.383317,9.75104,90.249
AODV,70,400,20,1267.14,0.291475,15.0768,84.9232
RAODV,70,400,20,1164.55,0.35871,13.8723,86.1277
AODV,40,100,5,495.445,0.144732,41.0084,58.9916
RAODV,40,100,5,506.348,0.121121,41.8215,58.1785
AODV,40,100,10,510.516,0.107966,42.2054,57.7946
RAODV,40,100,10,511.5,0.09968,43.7121,56.2879
AODV,40,100,15,487.498,0.124005,39.9038,60.0962
RAODV,40,100,15,505.827,0.082166,41.4756,58.5244
AODV,40,100,20,467.064,0.155137,38.5991,61.4009
RAODV,40,100,20,473.839,0.101981,39.4884,60.5116